zipcode,city,state,latitude,longitude,timezone,dst
1106,"Longmeadow","MA",42.05,-72.57,-5,1
1107,"Springfield","MA",42.12,-72.61,-5,1
1108,"Springfield","MA",42.08,-72.56,-5,1
1109,"Springfield","MA",42.12,-72.55,-5,1
1111,"Springfield","MA",42.17,-72.6,-5,1
1114,"Springfield","MA",42.17,-72.6,-5,1
1115,"Springfield","MA",42.1,-72.59,-5,1
1116,"Longmeadow","MA",42.17,-72.6,-5,1
1118,"Springfield","MA",42.09,-72.53,-5,1
1119,"Springfield","MA",42.13,-72.51,-5,1
1128,"Springfield","MA",42.1,-72.49,-5,1
1129,"Springfield","MA",42.12,-72.49,-5,1
1133,"Springfield","MA",42.17,-72.6,-5,1
1138,"Springfield","MA",42.17,-72.6,-5,1
1139,"Springfield","MA",42.17,-72.6,-5,1
1144,"Springfield","MA",42.1,-72.59,-5,1
1151,"Indian Orchard","MA",42.15,-72.51,-5,1
1152,"Springfield","MA",42.17,-72.6,-5,1
1199,"Springfield","MA",42.12,-72.6,-5,1
1201,"Pittsfield","MA",42.45,-73.25,-5,1
1202,"Pittsfield","MA",42.39,-73.23,-5,1
1203,"Pittsfield","MA",42.39,-73.23,-5,1
1220,"Adams","MA",42.62,-73.12,-5,1
1222,"Ashley Falls","MA",42.06,-73.32,-5,1
1223,"Becket","MA",42.31,-73.09,-5,1
1224,"Berkshire","MA",42.39,-73.23,-5,1
1225,"Cheshire","MA",42.55,-73.17,-5,1
1226,"Dalton","MA",42.48,-73.12,-5,1
1227,"Dalton","MA",42.52,-73.09,-5,1
1229,"Glendale","MA",42.28,-73.34,-5,1
1230,"Great Barrington","MA",42.19,-73.35,-5,1
1231,"Sheffield","MA",42.15,-73.3,-5,1
1235,"Hinsdale","MA",42.43,-73.09,-5,1
1236,"Housatonic","MA",42.27,-73.36,-5,1
1237,"Lanesboro","MA",42.56,-73.24,-5,1
1238,"Lee","MA",42.3,-73.23,-5,1
1240,"Lenox","MA",42.36,-73.28,-5,1
1242,"Lenox Dale","MA",42.34,-73.25,-5,1
1243,"Middlefield","MA",42.36,-73.01,-5,1
1244,"Mill River","MA",42.14,-73.2,-5,1
1245,"Monterey","MA",42.18,-73.21,-5,1
1247,"North Adams","MA",42.7,-73.1,-5,1
1252,"North Egremont","MA",42.2,-73.45,-5,1
1253,"Otis","MA",42.2,-73.1,-5,1
